2019-10-11 21:05:22.129+0000 INFO  [o.n.k.i.f.CommunityEditionModule] No locking implementation specified, defaulting to 'community'
2019-10-11 21:05:22.384+0000 INFO  [o.n.k.i.DiagnosticsManager] Committed virtual memory: 13.83 GB
2019-10-11 21:05:22.385+0000 INFO  [o.n.k.i.DiagnosticsManager] Total swap space: 5.00 GB
2019-10-11 21:05:22.387+0000 INFO  [o.n.k.i.DiagnosticsManager] Free swap space: 1.18 GB
2019-10-11 21:05:22.387+0000 INFO  [o.n.k.i.DiagnosticsManager] JVM memory information:
2019-10-11 21:05:22.387+0000 INFO  [o.n.k.i.DiagnosticsManager] Free  memory: 373.01 MB
2019-10-11 21:05:22.387+0000 INFO  [o.n.k.i.DiagnosticsManager] Total memory: 491.00 MB
2019-10-11 21:05:22.387+0000 INFO  [o.n.k.i.DiagnosticsManager] Max   memory: 7.11 GB
2019-10-11 21:05:22.392+0000 INFO  [o.n.k.i.DiagnosticsManager] Garbage Collector: PS Scavenge: [PS Eden Space, PS Survivor Space]
2019-10-11 21:05:22.393+0000 INFO  [o.n.k.i.DiagnosticsManager] Garbage Collector: PS MarkSweep: [PS Eden Space, PS Survivor Space, PS Old Gen]
2019-10-11 21:05:22.396+0000 INFO  [o.n.k.i.DiagnosticsManager] Memory Pool: Code Cache (Non-heap memory): committed=5.19 MB, used=5.11 MB, max=240.00 MB
2019-10-11 21:05:22.397+0000 INFO  [o.n.k.i.DiagnosticsManager] Memory Pool: Metaspace (Non-heap memory): committed=17.63 MB, used=16.73 MB, max=-1.00 B
2019-10-11 21:05:22.397+0000 INFO  [o.n.k.i.DiagnosticsManager] Memory Pool: Compressed Class Space (Non-heap memory): committed=2.38 MB, used=2.16 MB, max=1.00 GB
2019-10-11 21:05:22.397+0000 INFO  [o.n.k.i.DiagnosticsManager] Memory Pool: PS Eden Space (Heap memory): committed=128.50 MB, used=117.99 MB, max=2.63 GB
2019-10-11 21:05:22.397+0000 INFO  [o.n.k.i.DiagnosticsManager] Memory Pool: PS Survivor Space (Heap memory): committed=21.00 MB, used=0.00 B, max=21.00 MB
2019-10-11 21:05:22.398+0000 INFO  [o.n.k.i.DiagnosticsManager] Memory Pool: PS Old Gen (Heap memory): committed=341.50 MB, used=0.00 B, max=5.33 GB
2019-10-11 21:05:22.398+0000 INFO  [o.n.k.i.DiagnosticsManager] Operating system information:
2019-10-11 21:05:22.400+0000 INFO  [o.n.k.i.DiagnosticsManager] Operating System: Mac OS X; version: 10.14.2; arch: x86_64; cpus: 12
2019-10-11 21:05:22.402+0000 INFO  [o.n.k.i.DiagnosticsManager] Max number of file descriptors: 10240
2019-10-11 21:05:22.403+0000 INFO  [o.n.k.i.DiagnosticsManager] Number of open file descriptors: 130
2019-10-11 21:05:27.412+0000 INFO  [o.n.k.i.DiagnosticsManager] Process id: 64272@IOT6s-MacBook-Pro.local
2019-10-11 21:05:27.412+0000 INFO  [o.n.k.i.DiagnosticsManager] Byte order: LITTLE_ENDIAN
2019-10-11 21:05:27.412+0000 INFO  [o.n.k.i.DiagnosticsManager] Local timezone: America/New_York
2019-10-11 21:05:27.412+0000 INFO  [o.n.k.i.DiagnosticsManager] JVM information:
2019-10-11 21:05:27.412+0000 INFO  [o.n.k.i.DiagnosticsManager] VM Name: Java HotSpot(TM) 64-Bit Server VM
2019-10-11 21:05:27.413+0000 INFO  [o.n.k.i.DiagnosticsManager] VM Vendor: Oracle Corporation
2019-10-11 21:05:27.413+0000 INFO  [o.n.k.i.DiagnosticsManager] VM Version: 25.221-b11
2019-10-11 21:05:27.413+0000 INFO  [o.n.k.i.DiagnosticsManager] JIT compiler: HotSpot 64-Bit Tiered Compilers
2019-10-11 21:05:27.414+0000 INFO  [o.n.k.i.DiagnosticsManager] VM Arguments: [-javaagent:/Applications/IntelliJ IDEA.app/Contents/lib/idea_rt.jar, -Dfile.encoding=UTF-8]
